"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2022","Oregon","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","3"
"2012","Oregon","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","7"
"2017","Oregon","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","7"
"2022","Oregon","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","8"
"2012","Oregon","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","2"
"2017","Oregon","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","2"
"2022","Oregon","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","2"
"2012","Oregon","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","7"
"2017","Oregon","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","7"
"2022","Oregon","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","7"
"2012","Oregon","Government Organization","GO0018","Total population of county governments","001","State and Local","3,831,074"
"2017","Oregon","Government Organization","GO0018","Total population of county governments","001","State and Local","4,142,776"
"2022","Oregon","Government Organization","GO0018","Total population of county governments","001","State and Local","4,246,155"
"2012","Oregon","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","114,715"
"2017","Oregon","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","120,147"
"2022","Oregon","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","76,890"
"2012","Oregon","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","585,278"
"2017","Oregon","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","744,528"
"2022","Oregon","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","778,591"
"2012","Oregon","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","239,948"
"2017","Oregon","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","197,931"
"2022","Oregon","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","204,996"
"2012","Oregon","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,043,042"
"2017","Oregon","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,128,706"
"2022","Oregon","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,152,845"
"2012","Oregon","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","548,200"
"2017","Oregon","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","520,589"
"2022","Oregon","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","592,614"
"2012","Oregon","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","1,265,044"
"2017","Oregon","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","1,396,512"
"2022","Oregon","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","1,404,188"
"2012","Oregon","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","34,847"
"2017","Oregon","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","34,363"
"2022","Oregon","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","36,031"
"2012","Pennsylvania","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","66"
"2017","Pennsylvania","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","66"
"2022","Pennsylvania","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","66"
"2012","Pennsylvania","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","4"
"2017","Pennsylvania","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","4"
"2022","Pennsylvania","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","4"
"2012","Pennsylvania","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","16"
"2017","Pennsylvania","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","15"
"2022","Pennsylvania","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","15"
"2012","Pennsylvania","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","16"
"2017","Pennsylvania","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","16"
"2022","Pennsylvania","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","17"
"2012","Pennsylvania","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","9"
"2017","Pennsylvania","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","9"
"2022","Pennsylvania","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","9"
"2012","Pennsylvania","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","13"
"2017","Pennsylvania","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","13"
"2022","Pennsylvania","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","12"
"2012","Pennsylvania","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","5"
"2017","Pennsylvania","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","6"
"2022","Pennsylvania","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","6"
"2012","Pennsylvania","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","3"
"2017","Pennsylvania","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","3"
"2022","Pennsylvania","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","3"
"2012","Pennsylvania","Government Organization","GO0018","Total population of county governments","001","State and Local","11,176,373"
"2017","Pennsylvania","Government Organization","GO0018","Total population of county governments","001","State and Local","11,224,674"
"2022","Pennsylvania","Government Organization","GO0018","Total population of county governments","001","State and Local","11,387,805"
"2012","Pennsylvania","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","75,205"
"2017","Pennsylvania","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","74,178"
"2022","Pennsylvania","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","72,166"
"2012","Pennsylvania","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,508,901"
"2017","Pennsylvania","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,254,512"
"2022","Pennsylvania","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,264,445"
"2012","Pennsylvania","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","666,911"
"2017","Pennsylvania","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","650,198"
"2022","Pennsylvania","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","683,913"
"2012","Pennsylvania","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","3,227,285"
"2017","Pennsylvania","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","3,004,118"
"2022","Pennsylvania","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","3,075,645"
"2012","Pennsylvania","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","951,947"
"2017","Pennsylvania","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","919,334"
"2022","Pennsylvania","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","863,361"
"2012","Pennsylvania","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","3,726,895"
"2017","Pennsylvania","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","4,304,356"
"2022","Pennsylvania","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","4,410,916"
"2012","Pennsylvania","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","19,229"
"2017","Pennsylvania","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","17,978"
"2022","Pennsylvania","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","17,359"
"2012","Rhode Island","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0018","Total population of county governments","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0018","Total population of county governments","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0018","Total population of county governments","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","Rhode Island","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2017","Rhode Island","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2022","Rhode Island","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2012","South Carolina","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","46"
"2017","South Carolina","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","46"
"2022","South Carolina","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","46"
"2012","South Carolina","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","10"
"2017","South Carolina","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","8"
"2022","South Carolina","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","8"
"2012","South Carolina","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","9"
"2017","South Carolina","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","8"
"2022","South Carolina","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","9"
"2012","South Carolina","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","12"
"2017","South Carolina","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","12"
"2022","South Carolina","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","12"
"2012","South Carolina","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","6"
"2017","South Carolina","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","6"
"2022","South Carolina","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","6"
"2012","South Carolina","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","9"
"2017","South Carolina","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","9"
"2022","South Carolina","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","8"
"2012","South Carolina","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","South Carolina","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2022","South Carolina","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2012","South Carolina","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2017","South Carolina","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","2"
"2022","South Carolina","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","2"
"2012","South Carolina","Government Organization","GO0018","Total population of county governments","001","State and Local","4,625,364"
"2017","South Carolina","Government Organization","GO0018","Total population of county governments","001","State and Local","5,024,369"
"2022","South Carolina","Government Organization","GO0018","Total population of county governments","001","State and Local","5,190,705"
"2012","South Carolina","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","183,353"
"2017","South Carolina","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","155,163"
"2022","South Carolina","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","146,204"
"2012","South Carolina","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,413,494"
"2017","South Carolina","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,297,067"
"2022","South Carolina","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,443,287"
"2012","South Carolina","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","401,088"
"2017","South Carolina","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","391,010"
"2022","South Carolina","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","380,189"
"2012","South Carolina","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","2,001,927"
"2017","South Carolina","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","2,010,233"
"2022","South Carolina","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","2,121,506"
"2012","South Carolina","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","625,502"
"2017","South Carolina","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","645,512"
"2022","South Carolina","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","548,067"
"2012","South Carolina","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","South Carolina","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","506,837"
"2022","South Carolina","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","533,834"
"2012","South Carolina","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2017","South Carolina","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","18,547"
"2022","South Carolina","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","17,618"
"2012","South Dakota","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","66"
"2017","South Dakota","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","66"
"2022","South Dakota","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","66"
"2012","South Dakota","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","11"
"2017","South Dakota","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","11"
"2022","South Dakota","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","10"
"2012","South Dakota","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2017","South Dakota","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2022","South Dakota","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","2"
"2012","South Dakota","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","5"
"2017","South Dakota","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","5"
"2022","South Dakota","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","5"
"2012","South Dakota","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2017","South Dakota","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2022","South Dakota","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2012","South Dakota","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","X"
"2017","South Dakota","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","1"
"2022","South Dakota","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","1"
"2012","South Dakota","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","South Dakota","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","South Dakota","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","South Dakota","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","48"
"2017","South Dakota","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","47"
"2022","South Dakota","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","48"
"2012","South Dakota","Government Organization","GO0018","Total population of county governments","001","State and Local","814,180"
"2017","South Dakota","Government Organization","GO0018","Total population of county governments","001","State and Local","869,666"
"2022","South Dakota","Government Organization","GO0018","Total population of county governments","001","State and Local","895,376"
"2012","South Dakota","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","173,767"
"2017","South Dakota","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","164,821"
"2022","South Dakota","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","157,068"
"2012","South Dakota","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","270,416"
"2017","South Dakota","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","298,757"
"2022","South Dakota","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","311,491"
"2012","South Dakota","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","165,985"
"2017","South Dakota","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","154,979"
"2022","South Dakota","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","157,505"
"2012","South Dakota","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2017","South Dakota","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2022","South Dakota","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2012","South Dakota","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","X"
"2017","South Dakota","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","56,664"
"2022","South Dakota","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","67,870"
"2012","South Dakota","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","South Dakota","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","South Dakota","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","South Dakota","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","204,012"
"2017","South Dakota","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","194,445"
"2022","South Dakota","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","201,442"
"2012","Tennessee","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","92"
"2017","Tennessee","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","92"
"2022","Tennessee","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","92"
"2012","Tennessee","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","28"
"2017","Tennessee","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","28"
"2022","Tennessee","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","26"
"2012","Tennessee","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","7"
"2017","Tennessee","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","8"
"2022","Tennessee","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","8"
"2012","Tennessee","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","29"
"2017","Tennessee","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","27"
"2022","Tennessee","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","27"
"2012","Tennessee","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","3"
"2017","Tennessee","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","3"
"2022","Tennessee","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2012","Tennessee","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","17"
"2017","Tennessee","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","18"
"2022","Tennessee","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","19"
